first_months,then_months,target_lead,relative_frobenius
1,1,2,0.7294940252053747
1,2,3,0.756612146573579
1,3,4,0.771878731582478
1,4,5,0.7793758385771167
1,5,6,0.7826718785737874
2,1,3,0.7502697282829348
2,2,4,0.7782562960281699
2,3,5,0.7848832211742338
2,4,6,0.7929135958341923
3,1,4,0.7594415451798695
3,2,5,0.779286143808264
3,3,6,0.7927540499968668
4,1,5,0.755424817187061
4,2,6,0.7810553474285159
5,1,6,0.7558415123229675
