index,monthly_real,monthly_imag,monthly_modulus,annual_real,annual_imag,annual_modulus,annual_phase_radians_principal,annual_stability
0,0.8244007164496567,0.0,0.8244007164496567,0.0985508391035346,0.0,0.0985508391035346,0.0,decay
1,0.6810378012062731,0.0,0.6810378012062731,0.009955306116368707,0.0,0.009955306116368707,0.0,decay
2,0.5485745788922983,0.0,0.5485745788922983,0.0007427251682211518,0.0,0.0007427251682211518,0.0,decay
3,0.4864827173743593,0.0,0.4864827173743593,0.00017571506410987407,0.0,0.00017571506410987407,0.0,decay
4,0.3827463697377641,0.0,0.3827463697377641,9.884005137464766e-06,0.0,9.884005137464766e-06,0.0,decay
7,0.3599070490963261,0.04171037585909863,0.3623159387103092,9.47704496960816e-07,5.028879410244175e-06,5.117398942464576e-06,1.3845284616715527,decay
8,0.3599070490963261,-0.04171037585909863,0.3623159387103092,9.47704496960816e-07,-5.028879410244175e-06,5.117398942464576e-06,-1.3845284616715527,decay
5,0.31149883612462026,0.14633664974566846,0.3441597593644258,1.4616439749201153e-06,-2.342784075387784e-06,2.7613475574999372e-06,-1.0129942544668216,decay
6,0.31149883612462026,-0.14633664974566846,0.3441597593644258,1.4616439749201153e-06,2.342784075387784e-06,2.7613475574999372e-06,1.0129942544668216,decay
10,0.3262000892690635,0.015527021836359376,0.32656942086829227,1.238094957919023e-06,7.949175998275889e-07,1.4713167963902818e-06,0.5707654258499515,decay
11,0.3262000892690635,-0.015527021836359376,0.32656942086829227,1.238094957919023e-06,-7.949175998275889e-07,1.4713167963902818e-06,-0.5707654258499515,decay
14,0.2831406360460529,0.03270750854210114,0.28502350937351645,5.448901529635301e-08,2.822422516071906e-07,2.874538943557086e-07,1.3800849638409198,decay
15,0.2831406360460529,-0.03270750854210114,0.28502350937351645,5.448901529635301e-08,-2.822422516071906e-07,2.874538943557086e-07,-1.3800849638409198,decay
16,0.17507373172119223,0.17532603819374382,0.2477701176645362,-5.352675460695864e-08,-4.625167564023669e-10,5.3528752839044556e-08,-3.1329520167877365,decay
17,0.17507373172119223,-0.17532603819374382,0.2477701176645362,-5.352675460695864e-08,4.625167564023669e-10,5.3528752839044556e-08,3.1329520167877365,decay
