lead_months,relative_operator_frobenius,latent_relative_frobenius,last_origin_normalized_output_difference_rms,last_origin_relative_output_difference
1,0.0,0.0,0.0,0.0
2,0.7294940252053747,0.6941509115332233,0.7533423160155954,0.6571504588281778
3,0.8515943407635701,0.8260375611206398,0.8896152079122753,0.7806579906957314
4,0.9000578637926954,0.8815494995621314,1.1151957300392124,0.8567010190539937
5,0.926462752932306,0.912617095852808,0.9026645608682771,0.8344704850049327
6,0.9444948154907987,0.934335282492954,1.0445125746644868,0.8599570064070325
