group,label,representation,month,year,part,region,rms_wind_m_s,rms_geostrophic_m_s,rms_residual_m_s,residual_over_wind_rms,mean_speed_m_s,max_speed_m_s,strong_direction_abs_mean_deg,direction_area_fraction,valid_area_fraction
historical_reference,2015-01,L12_native,1,2015,anomaly,focus,3.898590997368561,3.70077045246168,1.0243928652104703,0.26275976779864996,3.4402741206507983,8.176309860685075,10.050083001708638,0.4701689126640119,1.0
historical_reference,2015-01,L12_fine,1,2015,total,review,21.81137601169311,23.296712124741653,2.282380658373688,0.10464175470406362,18.977438621035795,36.24669611954023,1.7048439232829675,0.5085563023226088,1.0
historical_reference,2015-01,L12_fine,1,2015,total,focus,28.414060877239752,29.78997974086209,2.0642635041784665,0.072649365857873,27.422561096505532,36.24669611954023,1.3920741065457447,0.8046632072423371,1.0
historical_reference,2015-01,L12_fine,1,2015,climatology,review,22.697684413356143,24.200295743706473,2.0326062273329835,0.08955125951689256,19.964936550268654,38.09074514087267,1.7661067612648982,0.5300573823850415,1.0
historical_reference,2015-01,L12_fine,1,2015,climatology,focus,30.5004428191247,31.90598831206731,1.8076188733994953,0.05926533211727876,29.898188512093373,38.09074514087267,1.3252295735688653,0.9173447167236141,1.0
historical_reference,2015-01,L12_fine,1,2015,anomaly,review,4.527712424652355,4.605790653135747,1.0420433017764716,0.23014785482019243,3.980488782674595,10.047291639524094,10.16123391196337,0.392792655203428,1.0
historical_reference,2015-01,L12_fine,1,2015,anomaly,focus,3.8952622699437485,3.7132357279900163,1.022461226103631,0.2624884167602908,3.436277465541762,8.176309860685075,10.210142170496223,0.4831315036581822,1.0
historical_reference,2015-01,matched_hybrid_fine,1,2015,total,review,21.854056937265405,23.296712124741653,2.4792303944052088,0.11344485838588808,18.963216622914086,36.2139433546448,1.731165326363899,0.5171554775120817,1.0
historical_reference,2015-01,matched_hybrid_fine,1,2015,total,focus,28.45747526184797,29.78997974086209,2.1601599204359005,0.07590834747494125,27.477412811399095,36.2139433546448,1.6228104129430032,0.8100683928968347,1.0
historical_reference,2015-01,matched_hybrid_fine,1,2015,climatology,review,22.7312972707376,24.200295743706473,2.169449797303906,0.09543889077094941,20.043125737481535,37.71058126644694,1.866432048715158,0.5340282685663454,1.0
historical_reference,2015-01,matched_hybrid_fine,1,2015,climatology,focus,30.53599083757599,31.90598831206731,1.8532368243548705,0.060690246935572636,29.956257871271372,37.71058126644694,1.531116837587034,0.9129276400575144,1.0
historical_reference,2015-01,matched_hybrid_fine,1,2015,anomaly,review,4.527712424652355,4.605790653135747,1.0420433017764716,0.23014785482019243,3.980488782674595,10.047291639524094,10.544568049830193,0.4007908248287216,1.0
historical_reference,2015-01,matched_hybrid_fine,1,2015,anomaly,focus,3.895262269943748,3.7132357279900163,1.022461226103631,0.26248841676029083,3.436277465541762,8.176309860685073,10.216795436136511,0.48853668931267974,1.0
historical_reference,2016-01,native,1,2016,total,review,26.76745563480331,27.701208449175198,2.0380977969005087,0.07614088633252665,23.501462392634846,43.1818808792278,2.575586029269343,0.5977635927850403,1.0
historical_reference,2016-01,native,1,2016,total,focus,35.82648349678286,36.25796097539063,1.4024389141205162,0.039145313110242934,35.336446309938495,43.1818808792278,1.4526393096674508,0.9914354378898504,1.0
historical_reference,2016-01,native,1,2016,climatology,review,22.786057437789367,24.214047841490256,1.7238298339191316,0.07565283457331494,20.056060687508463,37.71058126644694,1.694818908993416,0.5439678646601609,1.0
historical_reference,2016-01,native,1,2016,climatology,focus,30.576198333676523,32.28910132124462,1.952355351076804,0.06385212869732357,29.95983715727749,37.71058126644694,1.3479326109021696,0.9345864492019454,1.0
historical_reference,2016-01,native,1,2016,anomaly,review,5.967016120606458,5.742037687771359,1.1936548247215628,0.20004216522884902,5.304729995619732,14.382312441141877,6.042396813018629,0.5652145335695433,1.0
historical_reference,2016-01,native,1,2016,anomaly,focus,6.51686275416463,5.587796935454968,1.462592923502273,0.22443205859561743,6.1670872241880526,10.413107096980617,6.41044617926758,0.9022135613209877,1.0
historical_reference,2016-01,L12_native,1,2016,total,review,26.815496591667234,27.50266994832557,3.1204903424736097,0.11636891868872884,23.43183103111425,43.25660514148958,2.591959108610282,0.5771756010548458,1.0
historical_reference,2016-01,L12_native,1,2016,total,focus,35.98587229202287,35.28178229463901,2.2201560484149163,0.061695212787910306,35.37678772989367,43.25660514148958,1.4201653621060821,0.9691675764034617,1.0
historical_reference,2016-01,L12_native,1,2016,climatology,review,22.678706914926856,24.055665790377503,1.9830873558136675,0.08744269958832718,19.92966940021541,38.09074514087267,1.7808599120137798,0.5320562783992538,1.0
